Business_Idea,Category,Skill_Required,Initial_Investment,Growth_Potential,Market_Demand,Flexibility
YouTube Cooking Channel,Handmade,Flower Arrangement,Low,Medium,Medium,Home-based
Clay Pottery & Terracotta Jewelry Making,Fashion,Flower Arrangement,High,High,Medium,Home-based
YouTube Cooking Channel,Event Planning,Knitting & Crochet,Low,Low,Medium,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Handmade,Soap & Candle Making,Medium,Low,Medium,Home-based
Home-Based Tiffin Service,Fashion,Pickle & Papad Making,Low,Medium,High,Home-based
Homemade Pickles & Papads,Food,Knitting & Crochet,High,Medium,Medium,Home-based
Homemade Pickles & Papads,Education,Doll/Soft Toy Making,Low,High,Low,Remote
Saree Rolling & Polishing,Digital,Pickle & Papad Making,High,Low,Low,Home-based
Home-Based Daycare/Tuition,Digital,Doll/Soft Toy Making,Low,Medium,High,Remote
Wedding & Event Planning,Handmade,Flower Arrangement,High,Medium,Low,Hybrid
Handmade Mehendi Cone & Bridal Mehendi,Handmade,Rangoli Designing,High,Medium,Low,Remote
Boutique Stitching & Tailoring,Handmade,Knitting & Crochet,Medium,Medium,Low,Hybrid
YouTube Cooking Channel,Digital,Soap & Candle Making,Low,Low,High,Remote
Wedding & Event Planning,Event Planning,Handloom Weaving,Low,High,Medium,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Digital,Tiffin Service Cooking,Low,Low,High,Hybrid
Handmade Mehendi Cone & Bridal Mehendi,Event Planning,Soap & Candle Making,Low,High,Medium,Hybrid
Saree Rolling & Polishing,Fashion,Tailoring & Alterations,Low,Low,Low,Remote
Wedding & Event Planning,Fashion,Mehendi Art,High,Medium,Medium,Home-based
Clay Pottery & Terracotta Jewelry Making,Fashion,Soap & Candle Making,Medium,Low,Low,Remote
Eco-Friendly Craft Business,Education,Soap & Candle Making,High,High,High,Remote
Saree Rolling & Polishing,Digital,Doll/Soft Toy Making,Low,Medium,Medium,Remote
Homemade Chocolates & Snacks,Digital,Doll/Soft Toy Making,High,Medium,High,Remote
Homemade Chocolates & Snacks,Beauty,Tiffin Service Cooking,High,High,Low,Remote
Homemade Chocolates & Snacks,Education,Mehendi Art,Medium,High,Low,Hybrid
Clay Pottery & Terracotta Jewelry Making,Food,Homemade Beauty Products,High,Low,Medium,Remote
Home-Based Tiffin Service,Event Planning,Flower Arrangement,Medium,Medium,Medium,Hybrid
Homemade Chocolates & Snacks,Digital,Rangoli Designing,Medium,Medium,Low,Hybrid
Eco-Friendly Craft Business,Beauty,Tailoring & Alterations,Medium,Low,High,Hybrid
Home-Based Tiffin Service,Beauty,Homemade Beauty Products,High,Low,High,Hybrid
YouTube Cooking Channel,Event Planning,Rangoli Designing,Low,Medium,Medium,Remote
Small-Scale Home Bakeries,Food,Homemade Beauty Products,Low,High,Medium,Hybrid
Homemade Pickles & Papads,Education,Flower Arrangement,High,Low,Medium,Home-based
Saree Rolling & Polishing,Event Planning,Flower Arrangement,High,Low,Low,Remote
Saree Rolling & Polishing,Digital,Doll/Soft Toy Making,Low,High,Medium,Hybrid
YouTube Cooking Channel,Event Planning,Flower Arrangement,High,Medium,Low,Home-based
Wedding & Event Planning,Fashion,Mehendi Art,Low,Low,Medium,Hybrid
Boutique Stitching & Tailoring,Fashion,Rangoli Designing,Medium,High,High,Home-based
YouTube Cooking Channel,Food,Handloom Weaving,Low,High,Medium,Remote
Wedding & Event Planning,Event Planning,Mehendi Art,Low,Medium,Medium,Remote
Handmade Mehendi Cone & Bridal Mehendi,Handmade,Pickle & Papad Making,High,Low,Low,Hybrid
Boutique Stitching & Tailoring,Digital,Pickle & Papad Making,High,Low,Medium,Hybrid
Wedding & Event Planning,Digital,Homemade Beauty Products,Low,Medium,Medium,Remote
Home-Based Tiffin Service,Fashion,Pickle & Papad Making,Medium,Medium,Medium,Remote
Wedding & Event Planning,Handmade,Flower Arrangement,Low,Medium,Medium,Remote
Homemade Pickles & Papads,Education,Flower Arrangement,Low,Low,Medium,Remote
Home-Based Tiffin Service,Handmade,Handloom Weaving,Medium,Low,High,Remote
Homemade Chocolates & Snacks,Fashion,Mehendi Art,Medium,Low,High,Remote
Wedding & Event Planning,Event Planning,Homemade Beauty Products,High,Medium,Medium,Hybrid
Wedding & Event Planning,Digital,Rangoli Designing,Low,High,Medium,Remote
Boutique Stitching & Tailoring,Digital,Soap & Candle Making,Medium,High,Medium,Remote
Handmade Mehendi Cone & Bridal Mehendi,Event Planning,Homemade Beauty Products,Medium,Medium,Low,Home-based
Small-Scale Home Bakeries,Food,Tailoring & Alterations,Low,Medium,High,Home-based
Home-Based Tiffin Service,Event Planning,Rangoli Designing,High,Low,High,Remote
Saree Rolling & Polishing,Fashion,Knitting & Crochet,Low,Medium,Low,Remote
Handmade Mehendi Cone & Bridal Mehendi,Beauty,Knitting & Crochet,Low,Low,High,Remote
YouTube Cooking Channel,Education,Mehendi Art,Low,Medium,Low,Remote
Homemade Pickles & Papads,Fashion,Mehendi Art,High,Medium,Medium,Hybrid
YouTube Cooking Channel,Digital,Knitting & Crochet,Low,High,Medium,Hybrid
Home-Based Daycare/Tuition,Fashion,Doll/Soft Toy Making,High,High,High,Remote
Homemade Chocolates & Snacks,Beauty,Tailoring & Alterations,High,High,Low,Hybrid
Eco-Friendly Craft Business,Food,Rangoli Designing,High,Medium,High,Remote
Home-Based Tiffin Service,Beauty,Soap & Candle Making,Low,High,Medium,Home-based
Home-Based Daycare/Tuition,Beauty,Pickle & Papad Making,Medium,Medium,Medium,Home-based
Home-Based Daycare/Tuition,Fashion,Doll/Soft Toy Making,Low,Low,High,Home-based
Home-Based Daycare/Tuition,Education,Homemade Beauty Products,Low,Medium,Low,Remote
Boutique Stitching & Tailoring,Beauty,Tiffin Service Cooking,Low,High,High,Hybrid
YouTube Cooking Channel,Food,Mehendi Art,High,Low,Low,Hybrid
Home-Based Tiffin Service,Event Planning,Tailoring & Alterations,Medium,Low,Medium,Hybrid
Homemade Pickles & Papads,Handmade,Doll/Soft Toy Making,High,Medium,Low,Remote
Eco-Friendly Craft Business,Event Planning,Handloom Weaving,High,High,High,Home-based
Clay Pottery & Terracotta Jewelry Making,Handmade,Soap & Candle Making,Medium,High,Low,Home-based
Homemade Chocolates & Snacks,Handmade,Tiffin Service Cooking,Low,High,High,Hybrid
Home-Based Tiffin Service,Digital,Doll/Soft Toy Making,Medium,Low,Low,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Digital,Flower Arrangement,Medium,Low,High,Hybrid
Homemade Chocolates & Snacks,Digital,Flower Arrangement,High,High,High,Home-based
Saree Rolling & Polishing,Education,Homemade Beauty Products,Low,Low,Low,Remote
Eco-Friendly Craft Business,Education,Homemade Beauty Products,Low,Medium,Medium,Hybrid
YouTube Cooking Channel,Digital,Homemade Beauty Products,Medium,Low,Low,Remote
Handmade Mehendi Cone & Bridal Mehendi,Beauty,Tiffin Service Cooking,High,Low,Low,Hybrid
YouTube Cooking Channel,Beauty,Knitting & Crochet,Low,Medium,High,Remote
Wedding & Event Planning,Food,Pickle & Papad Making,High,Low,Medium,Remote
Homemade Pickles & Papads,Food,Homemade Beauty Products,Low,High,Low,Hybrid
Clay Pottery & Terracotta Jewelry Making,Digital,Tiffin Service Cooking,High,Low,High,Hybrid
Homemade Pickles & Papads,Food,Flower Arrangement,Low,Low,Low,Remote
Homemade Pickles & Papads,Event Planning,Homemade Beauty Products,High,High,Medium,Hybrid
YouTube Cooking Channel,Digital,Tiffin Service Cooking,Medium,Low,Low,Remote
Home-Based Tiffin Service,Digital,Flower Arrangement,Medium,Low,High,Home-based
YouTube Cooking Channel,Fashion,Flower Arrangement,Low,Medium,Medium,Hybrid
Homemade Chocolates & Snacks,Food,Flower Arrangement,High,High,Medium,Home-based
Eco-Friendly Craft Business,Education,Tiffin Service Cooking,High,High,Low,Remote
Small-Scale Home Bakeries,Fashion,Soap & Candle Making,Medium,Low,High,Home-based
Home-Based Tiffin Service,Digital,Soap & Candle Making,Low,Low,Medium,Remote
Saree Rolling & Polishing,Event Planning,Rangoli Designing,Low,Low,Medium,Home-based
Home-Based Tiffin Service,Beauty,Tiffin Service Cooking,Medium,High,High,Home-based
Eco-Friendly Craft Business,Fashion,Tailoring & Alterations,High,Medium,High,Hybrid
Small-Scale Home Bakeries,Beauty,Rangoli Designing,Medium,High,Medium,Hybrid
Handmade Mehendi Cone & Bridal Mehendi,Handmade,Mehendi Art,Medium,Low,Low,Home-based
Home-Based Tiffin Service,Event Planning,Tiffin Service Cooking,Medium,Medium,Medium,Remote
Boutique Stitching & Tailoring,Beauty,Flower Arrangement,Low,Low,High,Hybrid
Home-Based Daycare/Tuition,Fashion,Handloom Weaving,Medium,Low,Medium,Hybrid
Wedding & Event Planning,Education,Rangoli Designing,Low,High,High,Remote
Wedding & Event Planning,Food,Homemade Beauty Products,High,High,Low,Hybrid
Wedding & Event Planning,Education,Mehendi Art,Medium,Medium,Medium,Home-based
Home-Based Daycare/Tuition,Education,Doll/Soft Toy Making,Medium,Medium,Low,Remote
Boutique Stitching & Tailoring,Handmade,Rangoli Designing,Medium,Medium,Low,Home-based
Small-Scale Home Bakeries,Handmade,Doll/Soft Toy Making,Medium,Medium,Medium,Hybrid
Eco-Friendly Craft Business,Handmade,Rangoli Designing,High,Low,High,Home-based
Boutique Stitching & Tailoring,Food,Soap & Candle Making,High,Medium,High,Hybrid
Boutique Stitching & Tailoring,Event Planning,Handloom Weaving,High,High,Medium,Home-based
Home-Based Daycare/Tuition,Food,Doll/Soft Toy Making,High,Medium,Medium,Remote
Homemade Chocolates & Snacks,Event Planning,Flower Arrangement,Medium,Low,Medium,Hybrid
Wedding & Event Planning,Digital,Tiffin Service Cooking,Low,Low,Low,Remote
Homemade Chocolates & Snacks,Event Planning,Tailoring & Alterations,High,Low,High,Home-based
Home-Based Daycare/Tuition,Event Planning,Soap & Candle Making,Low,Medium,Medium,Home-based
YouTube Cooking Channel,Event Planning,Handloom Weaving,Low,Low,Medium,Hybrid
Eco-Friendly Craft Business,Digital,Rangoli Designing,High,High,High,Home-based
Homemade Chocolates & Snacks,Fashion,Tiffin Service Cooking,High,High,High,Hybrid
Home-Based Daycare/Tuition,Fashion,Mehendi Art,Low,High,Low,Remote
YouTube Cooking Channel,Event Planning,Tiffin Service Cooking,Low,High,Medium,Hybrid
Saree Rolling & Polishing,Fashion,Tiffin Service Cooking,Low,Medium,Medium,Remote
Small-Scale Home Bakeries,Handmade,Doll/Soft Toy Making,Low,Medium,Medium,Home-based
Homemade Chocolates & Snacks,Education,Handloom Weaving,High,Low,Medium,Remote
YouTube Cooking Channel,Fashion,Rangoli Designing,High,Medium,High,Home-based
Home-Based Daycare/Tuition,Food,Soap & Candle Making,High,Low,Medium,Hybrid
Saree Rolling & Polishing,Digital,Homemade Beauty Products,Medium,Low,High,Home-based
Home-Based Tiffin Service,Event Planning,Flower Arrangement,Medium,Medium,Medium,Remote
Homemade Chocolates & Snacks,Education,Tailoring & Alterations,Low,Low,Low,Remote
Small-Scale Home Bakeries,Event Planning,Soap & Candle Making,Medium,Medium,Low,Remote
Saree Rolling & Polishing,Handmade,Soap & Candle Making,Medium,Medium,Medium,Home-based
Clay Pottery & Terracotta Jewelry Making,Beauty,Knitting & Crochet,High,High,High,Home-based
Homemade Pickles & Papads,Digital,Tiffin Service Cooking,High,Low,Low,Home-based
Homemade Chocolates & Snacks,Food,Tiffin Service Cooking,Medium,High,Low,Home-based
Home-Based Daycare/Tuition,Fashion,Knitting & Crochet,Medium,High,Low,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Digital,Pickle & Papad Making,Low,Medium,Low,Home-based
Eco-Friendly Craft Business,Education,Handloom Weaving,High,Low,Low,Remote
Homemade Pickles & Papads,Event Planning,Rangoli Designing,Medium,High,Low,Home-based
YouTube Cooking Channel,Fashion,Rangoli Designing,Medium,High,High,Hybrid
Saree Rolling & Polishing,Food,Rangoli Designing,High,High,Low,Hybrid
YouTube Cooking Channel,Handmade,Flower Arrangement,High,Low,High,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Handmade,Mehendi Art,Medium,High,High,Remote
Saree Rolling & Polishing,Fashion,Pickle & Papad Making,Medium,High,Medium,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Education,Knitting & Crochet,Low,Low,Low,Home-based
Homemade Chocolates & Snacks,Food,Soap & Candle Making,Medium,Low,High,Hybrid
Wedding & Event Planning,Event Planning,Pickle & Papad Making,High,High,High,Hybrid
Home-Based Daycare/Tuition,Event Planning,Tailoring & Alterations,High,Medium,Medium,Remote
Homemade Chocolates & Snacks,Fashion,Mehendi Art,High,Low,Low,Home-based
Clay Pottery & Terracotta Jewelry Making,Event Planning,Soap & Candle Making,High,Low,Low,Remote
Clay Pottery & Terracotta Jewelry Making,Education,Handloom Weaving,Low,Medium,High,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Food,Handloom Weaving,High,Medium,Medium,Hybrid
Home-Based Daycare/Tuition,Food,Tiffin Service Cooking,High,Low,Medium,Home-based
Clay Pottery & Terracotta Jewelry Making,Education,Rangoli Designing,Low,High,Low,Hybrid
Clay Pottery & Terracotta Jewelry Making,Education,Flower Arrangement,High,Low,Medium,Hybrid
YouTube Cooking Channel,Fashion,Doll/Soft Toy Making,Medium,Low,Low,Home-based
Saree Rolling & Polishing,Fashion,Flower Arrangement,Low,Medium,Medium,Hybrid
Eco-Friendly Craft Business,Event Planning,Tailoring & Alterations,High,Medium,Medium,Remote
Eco-Friendly Craft Business,Beauty,Rangoli Designing,Low,Medium,High,Hybrid
Homemade Pickles & Papads,Fashion,Knitting & Crochet,Medium,High,Medium,Remote
Handmade Mehendi Cone & Bridal Mehendi,Digital,Tiffin Service Cooking,Medium,High,High,Home-based
YouTube Cooking Channel,Education,Pickle & Papad Making,High,Low,High,Hybrid
Homemade Chocolates & Snacks,Handmade,Handloom Weaving,Low,High,Low,Remote
Clay Pottery & Terracotta Jewelry Making,Education,Knitting & Crochet,Low,Low,Medium,Remote
Wedding & Event Planning,Beauty,Flower Arrangement,Medium,Low,Medium,Home-based
Homemade Chocolates & Snacks,Education,Homemade Beauty Products,Medium,Medium,Low,Home-based
YouTube Cooking Channel,Digital,Mehendi Art,Medium,High,High,Home-based
Small-Scale Home Bakeries,Education,Mehendi Art,Low,Low,High,Home-based
Home-Based Daycare/Tuition,Digital,Handloom Weaving,High,Medium,Low,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Education,Homemade Beauty Products,Medium,Medium,Low,Home-based
Home-Based Daycare/Tuition,Education,Mehendi Art,Low,High,Low,Home-based
Wedding & Event Planning,Education,Doll/Soft Toy Making,Medium,Low,Medium,Remote
Small-Scale Home Bakeries,Education,Tiffin Service Cooking,High,Low,Medium,Remote
Homemade Chocolates & Snacks,Fashion,Knitting & Crochet,High,High,Medium,Remote
YouTube Cooking Channel,Food,Rangoli Designing,High,High,Low,Remote
Eco-Friendly Craft Business,Handmade,Soap & Candle Making,Medium,High,Low,Home-based
Homemade Chocolates & Snacks,Beauty,Soap & Candle Making,High,Low,Low,Remote
YouTube Cooking Channel,Food,Mehendi Art,Medium,Low,Medium,Remote
Home-Based Daycare/Tuition,Event Planning,Tailoring & Alterations,Medium,Medium,Low,Remote
YouTube Cooking Channel,Education,Mehendi Art,Low,Low,Medium,Remote
Wedding & Event Planning,Food,Mehendi Art,Medium,Medium,Low,Hybrid
YouTube Cooking Channel,Beauty,Rangoli Designing,Low,Medium,Medium,Remote
Eco-Friendly Craft Business,Beauty,Rangoli Designing,High,Medium,Medium,Remote
Homemade Chocolates & Snacks,Digital,Pickle & Papad Making,Low,Low,Medium,Remote
Small-Scale Home Bakeries,Event Planning,Doll/Soft Toy Making,High,Medium,Medium,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Education,Soap & Candle Making,Medium,Medium,High,Remote
Homemade Pickles & Papads,Food,Rangoli Designing,High,Low,Medium,Home-based
Small-Scale Home Bakeries,Beauty,Tiffin Service Cooking,High,Medium,Medium,Hybrid
Homemade Chocolates & Snacks,Fashion,Tailoring & Alterations,Low,High,High,Hybrid
Eco-Friendly Craft Business,Beauty,Pickle & Papad Making,Low,Low,High,Hybrid
Home-Based Daycare/Tuition,Food,Knitting & Crochet,Low,Low,High,Remote
Clay Pottery & Terracotta Jewelry Making,Beauty,Handloom Weaving,Low,Low,High,Remote
Boutique Stitching & Tailoring,Food,Homemade Beauty Products,High,Low,Low,Hybrid
Wedding & Event Planning,Handmade,Soap & Candle Making,High,High,Medium,Hybrid
Eco-Friendly Craft Business,Fashion,Soap & Candle Making,Low,Low,High,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Fashion,Knitting & Crochet,Medium,Medium,High,Home-based
Homemade Pickles & Papads,Food,Soap & Candle Making,Medium,Medium,Medium,Remote
Eco-Friendly Craft Business,Education,Doll/Soft Toy Making,Low,High,High,Hybrid
Clay Pottery & Terracotta Jewelry Making,Digital,Homemade Beauty Products,Medium,High,High,Home-based
Homemade Chocolates & Snacks,Food,Doll/Soft Toy Making,Medium,Medium,Medium,Remote
Eco-Friendly Craft Business,Digital,Tiffin Service Cooking,Medium,High,Low,Hybrid
Clay Pottery & Terracotta Jewelry Making,Beauty,Rangoli Designing,Medium,Medium,Low,Hybrid
Homemade Pickles & Papads,Food,Flower Arrangement,Low,Medium,High,Home-based
Home-Based Daycare/Tuition,Beauty,Doll/Soft Toy Making,Medium,Medium,High,Hybrid
Handmade Mehendi Cone & Bridal Mehendi,Education,Doll/Soft Toy Making,Low,Medium,Medium,Hybrid
Small-Scale Home Bakeries,Food,Handloom Weaving,Low,Medium,High,Home-based
YouTube Cooking Channel,Digital,Rangoli Designing,Medium,High,Medium,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Digital,Soap & Candle Making,Medium,Low,High,Home-based
Homemade Pickles & Papads,Handmade,Handloom Weaving,High,Low,Low,Remote
YouTube Cooking Channel,Event Planning,Tailoring & Alterations,Medium,Medium,Low,Home-based
Eco-Friendly Craft Business,Digital,Rangoli Designing,Low,High,High,Remote
Clay Pottery & Terracotta Jewelry Making,Event Planning,Pickle & Papad Making,Low,High,Low,Hybrid
Small-Scale Home Bakeries,Handmade,Handloom Weaving,Medium,Low,High,Home-based
Small-Scale Home Bakeries,Event Planning,Soap & Candle Making,Low,Low,High,Hybrid
Home-Based Tiffin Service,Handmade,Flower Arrangement,Medium,Low,Medium,Home-based
YouTube Cooking Channel,Beauty,Knitting & Crochet,High,Low,Medium,Hybrid
Boutique Stitching & Tailoring,Education,Knitting & Crochet,High,Medium,Low,Hybrid
Clay Pottery & Terracotta Jewelry Making,Education,Tailoring & Alterations,High,High,Low,Hybrid
Home-Based Daycare/Tuition,Event Planning,Tiffin Service Cooking,High,Medium,High,Hybrid
Clay Pottery & Terracotta Jewelry Making,Fashion,Tiffin Service Cooking,Low,Low,High,Remote
Homemade Pickles & Papads,Digital,Doll/Soft Toy Making,Low,High,High,Remote
Home-Based Tiffin Service,Handmade,Doll/Soft Toy Making,High,Medium,Medium,Remote
Wedding & Event Planning,Education,Soap & Candle Making,Medium,Medium,High,Hybrid
YouTube Cooking Channel,Digital,Doll/Soft Toy Making,Low,High,High,Hybrid
YouTube Cooking Channel,Fashion,Tailoring & Alterations,High,Low,Low,Home-based
YouTube Cooking Channel,Food,Pickle & Papad Making,High,High,Medium,Home-based
Homemade Chocolates & Snacks,Event Planning,Soap & Candle Making,Low,High,Low,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Education,Flower Arrangement,High,Medium,Medium,Remote
Clay Pottery & Terracotta Jewelry Making,Fashion,Tailoring & Alterations,Low,Medium,Medium,Remote
Handmade Mehendi Cone & Bridal Mehendi,Digital,Handloom Weaving,Medium,Low,High,Remote
Home-Based Tiffin Service,Education,Homemade Beauty Products,Low,Medium,Low,Hybrid
Saree Rolling & Polishing,Beauty,Flower Arrangement,Low,High,Low,Home-based
Home-Based Tiffin Service,Beauty,Doll/Soft Toy Making,Low,Low,High,Remote
Homemade Chocolates & Snacks,Food,Handloom Weaving,Medium,Medium,Low,Home-based
Wedding & Event Planning,Event Planning,Pickle & Papad Making,Medium,High,Medium,Hybrid
Small-Scale Home Bakeries,Beauty,Knitting & Crochet,Medium,Low,High,Remote
Wedding & Event Planning,Event Planning,Doll/Soft Toy Making,Medium,Low,Medium,Remote
Home-Based Daycare/Tuition,Education,Doll/Soft Toy Making,Low,Low,Low,Hybrid
Handmade Mehendi Cone & Bridal Mehendi,Education,Rangoli Designing,Medium,Low,Medium,Home-based
Clay Pottery & Terracotta Jewelry Making,Digital,Tiffin Service Cooking,Low,High,Low,Hybrid
Homemade Pickles & Papads,Fashion,Mehendi Art,Medium,Low,High,Remote
Homemade Chocolates & Snacks,Handmade,Homemade Beauty Products,High,Medium,Medium,Home-based
Home-Based Tiffin Service,Digital,Pickle & Papad Making,Medium,High,Medium,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Food,Flower Arrangement,Medium,Low,High,Hybrid
Handmade Mehendi Cone & Bridal Mehendi,Event Planning,Handloom Weaving,Medium,High,High,Hybrid
Saree Rolling & Polishing,Education,Mehendi Art,Medium,Low,Low,Hybrid
Boutique Stitching & Tailoring,Beauty,Flower Arrangement,Medium,Low,Medium,Home-based
Eco-Friendly Craft Business,Digital,Tailoring & Alterations,High,High,High,Home-based
YouTube Cooking Channel,Event Planning,Tiffin Service Cooking,Medium,High,Medium,Hybrid
Saree Rolling & Polishing,Fashion,Knitting & Crochet,Medium,Low,Low,Remote
Wedding & Event Planning,Handmade,Homemade Beauty Products,Medium,Medium,High,Home-based
Boutique Stitching & Tailoring,Fashion,Knitting & Crochet,Medium,High,Low,Hybrid
Clay Pottery & Terracotta Jewelry Making,Beauty,Mehendi Art,Medium,Low,High,Home-based
Clay Pottery & Terracotta Jewelry Making,Handmade,Doll/Soft Toy Making,High,High,Low,Hybrid
Handmade Mehendi Cone & Bridal Mehendi,Digital,Knitting & Crochet,High,High,Low,Remote
Home-Based Daycare/Tuition,Education,Tailoring & Alterations,Low,High,Low,Home-based
Small-Scale Home Bakeries,Beauty,Tailoring & Alterations,Medium,Medium,High,Hybrid
Saree Rolling & Polishing,Fashion,Tailoring & Alterations,Medium,Medium,High,Hybrid
Boutique Stitching & Tailoring,Handmade,Tailoring & Alterations,Low,Low,High,Home-based
Home-Based Daycare/Tuition,Food,Mehendi Art,Low,High,Medium,Remote
Home-Based Tiffin Service,Education,Handloom Weaving,High,Low,Low,Home-based
YouTube Cooking Channel,Digital,Soap & Candle Making,Low,Medium,Medium,Hybrid
Home-Based Daycare/Tuition,Food,Homemade Beauty Products,Low,High,Low,Home-based
Small-Scale Home Bakeries,Handmade,Tiffin Service Cooking,Medium,Medium,High,Remote
Home-Based Daycare/Tuition,Fashion,Tailoring & Alterations,Low,Medium,High,Remote
Home-Based Tiffin Service,Digital,Handloom Weaving,Low,High,Medium,Remote
Home-Based Daycare/Tuition,Education,Homemade Beauty Products,Medium,High,High,Home-based
Boutique Stitching & Tailoring,Event Planning,Pickle & Papad Making,Low,Medium,Low,Home-based
Eco-Friendly Craft Business,Fashion,Handloom Weaving,Medium,Low,Low,Hybrid
Home-Based Daycare/Tuition,Fashion,Pickle & Papad Making,Low,Low,Low,Home-based
Eco-Friendly Craft Business,Handmade,Tailoring & Alterations,Low,High,High,Remote
Saree Rolling & Polishing,Food,Handloom Weaving,Medium,Low,High,Remote
Small-Scale Home Bakeries,Fashion,Tailoring & Alterations,High,High,High,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Fashion,Doll/Soft Toy Making,Medium,High,Medium,Hybrid
Boutique Stitching & Tailoring,Event Planning,Homemade Beauty Products,Medium,Low,Medium,Hybrid
Home-Based Daycare/Tuition,Food,Handloom Weaving,High,Low,Medium,Home-based
Home-Based Daycare/Tuition,Event Planning,Tailoring & Alterations,High,Medium,Low,Hybrid
Wedding & Event Planning,Handmade,Soap & Candle Making,Low,High,Medium,Remote
Homemade Pickles & Papads,Food,Rangoli Designing,Medium,High,Medium,Remote
Wedding & Event Planning,Fashion,Doll/Soft Toy Making,High,Medium,Medium,Home-based
YouTube Cooking Channel,Fashion,Tiffin Service Cooking,Medium,Medium,Low,Remote
Homemade Pickles & Papads,Event Planning,Rangoli Designing,Medium,Medium,Low,Remote
Eco-Friendly Craft Business,Food,Tiffin Service Cooking,High,Medium,High,Remote
Homemade Chocolates & Snacks,Handmade,Homemade Beauty Products,High,Medium,Low,Home-based
Home-Based Tiffin Service,Education,Mehendi Art,Medium,Medium,Low,Remote
Homemade Pickles & Papads,Food,Knitting & Crochet,Low,Low,Medium,Hybrid
Boutique Stitching & Tailoring,Digital,Pickle & Papad Making,Low,High,Low,Home-based
Home-Based Tiffin Service,Handmade,Mehendi Art,High,Medium,Low,Hybrid
Homemade Chocolates & Snacks,Beauty,Rangoli Designing,High,Medium,Medium,Remote
Clay Pottery & Terracotta Jewelry Making,Event Planning,Flower Arrangement,Medium,Medium,High,Hybrid
Homemade Chocolates & Snacks,Food,Handloom Weaving,Medium,High,Medium,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Education,Knitting & Crochet,High,Medium,High,Remote
Home-Based Daycare/Tuition,Fashion,Handloom Weaving,Low,High,Low,Home-based
Clay Pottery & Terracotta Jewelry Making,Event Planning,Pickle & Papad Making,Low,Medium,Low,Home-based
Homemade Chocolates & Snacks,Education,Flower Arrangement,High,Medium,High,Hybrid
Home-Based Daycare/Tuition,Digital,Knitting & Crochet,High,Low,High,Home-based
Homemade Chocolates & Snacks,Digital,Knitting & Crochet,Medium,High,High,Hybrid
Clay Pottery & Terracotta Jewelry Making,Digital,Mehendi Art,Medium,Medium,Low,Remote
Home-Based Daycare/Tuition,Fashion,Soap & Candle Making,Low,High,Medium,Home-based
Home-Based Tiffin Service,Education,Tiffin Service Cooking,Low,High,Medium,Hybrid
Handmade Mehendi Cone & Bridal Mehendi,Digital,Soap & Candle Making,Low,High,Medium,Remote
Homemade Chocolates & Snacks,Beauty,Handloom Weaving,Low,Medium,Medium,Remote
Wedding & Event Planning,Event Planning,Doll/Soft Toy Making,Low,High,Medium,Hybrid
Small-Scale Home Bakeries,Education,Tailoring & Alterations,Low,Medium,Medium,Home-based
YouTube Cooking Channel,Food,Soap & Candle Making,Low,High,Low,Hybrid
Homemade Pickles & Papads,Digital,Soap & Candle Making,Low,Medium,Medium,Remote
Saree Rolling & Polishing,Education,Mehendi Art,Medium,High,High,Hybrid
Handmade Mehendi Cone & Bridal Mehendi,Fashion,Knitting & Crochet,Low,High,Low,Hybrid
YouTube Cooking Channel,Food,Flower Arrangement,Low,Medium,High,Home-based
YouTube Cooking Channel,Education,Tiffin Service Cooking,Low,High,High,Home-based
Eco-Friendly Craft Business,Beauty,Doll/Soft Toy Making,Medium,Low,High,Remote
Home-Based Daycare/Tuition,Education,Handloom Weaving,Medium,High,High,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Fashion,Flower Arrangement,Low,High,Low,Home-based
Handmade Mehendi Cone & Bridal Mehendi,Food,Mehendi Art,Low,Medium,Low,Hybrid
Small-Scale Home Bakeries,Education,Handloom Weaving,Low,Low,High,Home-based
Saree Rolling & Polishing,Digital,Homemade Beauty Products,High,Low,High,Hybrid
Boutique Stitching & Tailoring,Handmade,Pickle & Papad Making,High,High,Low,Hybrid
Boutique Stitching & Tailoring,Beauty,Homemade Beauty Products,Medium,Medium,Low,Home-based
Eco-Friendly Craft Business,Fashion,Pickle & Papad Making,Medium,High,Medium,Remote
Eco-Friendly Craft Business,Digital,Tiffin Service Cooking,Low,High,Low,Hybrid
Boutique Stitching & Tailoring,Food,Pickle & Papad Making,High,Medium,Medium,Remote
Saree Rolling & Polishing,Fashion,Soap & Candle Making,Low,Medium,Low,Hybrid
